Marca temporal,What is your gender?,"What is your age? (In years. Ej, 27)","What is your height? (in centimeters. Ej, 166)","What is your ape index? (Full armspan minus height). *If you don't know it, put 0",How much do you weight? (In kg),Do you study or work?,What continent do you live in?,In which country do you live or climb at the most?,How often do you visit gyms/crags on states or countries other than the one you live in?,"If you plan a vacation, it is most likely intended as a...",Which describes you the best?,Which describes you the best?,How many years have you been climbing?,Is/was any of your parents a climber?,Why do you climb? ,On average how many days do you climb in a week?,How many of those are indoors?,"How many of those do you consider ""training"" sessions?","In case you train, how do you train?",How long are your training sessions on average?,"In case you train at a gym, what facilities does it include?","In case you climb indoors, do you climb indoors to improve your outdoors climbing, or is indoors climbing an end in itself?","Select the 5 aspects you personally put most of your efforts for improvement, regardless of it being in or out the gym",How tight do you get your climbing shoes?,Do you follow a specific diet?,Do you REGULARLY practice any other sport besides climbing?,What is the first thing you do when you get to the cym/crag?,What is your hardest indoor onsight/flash boulder grade?,What is your hardest indoor projected boulder grade?,What is your hardest outdoor onsight/flash boulder grade?,What is your hardest outdoor projected boulder grade?,"What grade do you feel a 80+% confidence to say ""I can most likely flash that""? ","What grade do you feel a 80+% confidence to say ""I can most likely send that""? ",What is the first thing you do when you get to the cym/crag?,How many routes do you normally climb in a day? (#),What is your hardest onsight/flash grade?,What is your hardest redpoint/projected grade?,"What grade do you feel a 80+% confidence to say ""I can most likely onsight/flash that""? ","What grade do you feel a 80+% confidence to say ""I can most likely finish that, even if i fall (no send)""","On your first attempt on a new project/route/problem at or above your current max grade, you normally...","When projecting SPORTS, how many attempts would you have on your projected route on the same day?",Which do you feel is usually your best performance on a project or hard route?,"When projecting, do you purposely try to visit the same crag in order to focus on your route, or do you simply work it when you happen to go back there?"
6/2/2020 0:53,Male,25,170,0,70,Work parttime,North America,Canada,More than once per month,Completely a climbing trip,Outdoor climber,Boulderer,7,No,"Fun of the activity in itself, Health, For the social part of climbing, Competition, The places it takes you, For the challenge",3,0,0,I do not train,I do not train,Bouldering area,I do not indoor climb,"Finger strength, Endurance, Power endurance, Flexibility, Explosive power","Very tight, borderline painful, fit","No, I eat anything",No,"Climb easy problems, meant as a warmup",V6,V9,V5,V8,V4,V5,"Climb an easy route, meant as a warmup",10,5.10d / 6b+,5.12c / 7b+,5.10d / 6b+,5.12b / 7b,Try the holds and moves individually first (boulder),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it
6/2/2020 1:13,Male,20,170,3,66,Study,North America,United states,Around every 2 months,Mainly climbing trip but something else as well,Both rather equally,Sports climber,3,No,"Fun of the activity in itself, Health, For the social part of climbing, Competition, The places it takes you, For the challenge",3,3,3,I perform random exercises as they feel appropiate,2 to 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Power endurance, Route/problem-specific sequences, Cardio, Explosive power",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V6,V8,V5,V7,V5,V7,"Climb an easy route, meant as a warmup",4,5.12b / 7b,5.13a / 7c+,5.12a / 7a+,5.13b / 8a,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,1st attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 1:22,Female,26,158,0,58,Work fulltime,Center or South America,Mexico,Never,Completely non-climbing trip,Both rather equally,Both rather equally,5,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",3,2,1,I perform random exercises as they feel appropiate,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Core strength, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V3,V5,V2,V3,V2,V4,Stretch and warmup (before climbing),3,5.11a / 6b+,5.11b / 6c,5.10b / 6a+,5.10d / 6b+,Top-rope it first (sports),Usually 2 attempts per day,Random attempt,I do not project
6/2/2020 1:38,Female,51,157,-1,59,Work fulltime,North America,United States,Around twice a year,Trip that might have some climbing,Indoor climber,Sports climber,13,No,"The places it takes you, For the challenge",3,3,1,Follow a training program by myself,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Footwork, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,Vegan,Yes,"Climb easy problems, meant as a warmup",V4,V5,V3,V4,V4,V4,"Climb an easy route, meant as a warmup",8,5.12b / 7b,5.12c / 7b+,5.11d / 7a,5.12a / 7a+,Top-rope it first (sports),Usually 3 attempts per day,3rd attempt of the day,I do not project
6/2/2020 1:58,Female,31,161,5,61,Work fulltime,North America,Canada ,Around once a year,Mainly climbing trip but something else as well,Both rather equally,Sports climber,7,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,3,0,I just climb more,I do not train,Lead climbing area,I indoor climb to improve my outdoor climbing,"Footwork, Endurance, Power endurance, Trying more/different routes/problems, Flexibility",Normal fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V2,V2,V2,V3,V2,V2,Stretch and warmup (before climbing),7,5.11a / 6b+,5.11d / 7a,5.10d / 6b+,5.11d / 7a,Climb it while resting on every other bolt to explore the moves (sports),Usually 2 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 3:07,Male,35,183,0,70,Neither,Europe,spain,Around every 2 months,Completely a climbing trip,Outdoor climber,Sports climber,14,No,Fun of the activity in itself,4,0,0,Follow a training program by myself,Less than an hour,,I do not indoor climb,"Finger strength, Core strength, Endurance, Power endurance, Explosive power","Very tight, borderline painful, fit","No, I eat anything",Yes,Stretch and warmup (before climbing),V8,V10,V8,V11,V6,V8,Stretch and warmup (before climbing),6,5.13b / 8a,5.14a / 8b+,5.12c / 7b+,5.13c / 8a+,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it
6/2/2020 4:20,Male,24,188,10,74,Study and work,Oceania,Australia,Around once a year,Trip that might have some climbing,Indoor climber,Boulderer,2,No,"Fun of the activity in itself, Health, For the social part of climbing, Competition, For the challenge",5,5,2,Follow a training program by myself,1 to 2 hours,"Bouldering area, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Core strength, Power endurance, Route/problem-specific sequences, Flexibility, Explosive power",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V7,V8,V1,V2,V6,V7,Stretch and warmup (before climbing),20,5.11d / 7a,5.12b / 7b,5.11d / 7a,5.12c / 7b+,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,Random attempt,I do not project
6/2/2020 4:25,Male,22,168,0,62,Study,Europe,Ireland,Never,Trip that might have some climbing,Both rather equally,Boulderer,3,No,For the social part of climbing,2,2,1,I just climb more,More than 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Endurance, Trying more/different routes/problems, Cardio",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V2,V3,V0,V1,V1,V3,"Climb an easy route, meant as a warmup",6,5.11b / 6c,5.11c / 6c+,5.11b / 6c,5.11c / 6c+,Climb it while resting on every other bolt to explore the moves (sports),Usually 1 one attempt per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 4:54,Female,19,165,0,68,Study and work,Europe,Sweden,Never,Trip that might have some climbing,Indoor climber,Sports climber,7,No,"Fun of the activity in itself, Health, For the challenge",2,2,2,Follow a training program by myself,Less than an hour,"Bouldering area, Lead climbing area, Top rope area (with autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Footwork, Core strength, Trying more/different routes/problems, Flexibility, Explosive power",Tight fit,Vegetarian + fish and/or milk,No,Stretch and warmup (before climbing),V1,V2,V0,V0,V0,V2,Stretch and warmup (before climbing),5,5.11a / 6b+,5.11b / 6c,5.10b / 6a+,5.11a / 6b+,Top-rope it first (sports),Usually 3 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it
6/2/2020 5:13,Male,26,179,6,73,Work fulltime,Europe,England,More than once per month,Trip that might have some climbing,Indoor climber,Boulderer,6,No,"Fun of the activity in itself, Health, For the social part of climbing, Competition, The places it takes you, For the challenge",4,4,3,Follow a training program by myself,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems","""Comfy fit""","No, I eat anything",Yes,Stretch and warmup (before climbing),V6,V8,V6,V7,V5,V5,Stretch and warmup (before climbing),9,5.11d / 7a,5.12b / 7b,5.11b / 6c,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,3rd attempt of the day,I do not project
6/2/2020 6:06,Male,49,183,0,92,Work fulltime,North America,USA,More than once per month,Trip that might have some climbing,Indoor climber,Boulderer,1,No,"Fun of the activity in itself, Health, The places it takes you, For the challenge",2,2,2,I just climb more,1 to 2 hours,"Bouldering area, Top rope area (with autobelay), Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,Other,Yes,"Climb easy problems, meant as a warmup",V3,V4,V2,V3,V2,V2,"Climb an easy route, meant as a warmup",6,5.9 / 6a,5.10b / 6a+,5.9 / 6a,5.10b / 6a+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,1st attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 6:14,Female,27,162,1,70,Work fulltime,North America,USA,Around twice a year,Completely non-climbing trip,Both rather equally,Sports climber,5,No,"Fun of the activity in itself, Health, For the social part of climbing, For the challenge",2,2,2,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Cardio, Flexibility",Normal fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V3,V4,V3,V4,V2,V2,Stretch and warmup (before climbing),5,5.11b / 6c,5.11d / 7a,5.11a / 6b+,5.10d / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,1st attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 6:36,Male,56,178,-1,75,Work fulltime,Oceania,Australia,Around once a year,Trip that might have some climbing,Indoor climber,Sports climber,3,No,"Fun of the activity in itself, Health, For the social part of climbing",3,3,3,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Core strength, Trying more/different routes/problems, Flexibility",Normal fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V2,V4,V1,V2,V1,V2,Stretch and warmup (before climbing),6,5.10c / 6b,5.11a / 6b+,5.10d / 6b+,5.11b / 6c,Top-rope it first (sports),Usually more than 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 7:20,Female,24,161,0,55,Work fulltime,Asia,Hong Kong,More than once per month,Mainly climbing trip but something else as well,Both rather equally,Both rather equally,3,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you",3,2,1,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V4,V5,V2,V4,V3,V3,"Climb an easy route, meant as a warmup",4,5.11b / 6c,5.11b / 6c,5.10b / 6a+,5.11a / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again
6/2/2020 7:21,Male,25,178,0,65,Work fulltime,North America,México,Around every 2 months,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,5,No,"Fun of the activity in itself, The places it takes you, For the challenge",4,2,0,I do not train,I do not train,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Trying more/different routes/problems, Flexibility, Explosive power",Tight fit,Vegetarian,No,Stretch and warmup (before climbing),V6,V7,V5,V6,V5,V6,Stretch and warmup (before climbing),5,5.12c / 7b+,5.13a / 7c+,5.12a / 7a+,5.12d / 7c,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 7:30,Female,26,158,0,51,Work fulltime,Asia,Hong Kong,Around twice a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,8,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",4,2,0,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V5,V2,V5,V2,V3,"Climb an easy route, meant as a warmup",4,5.12a / 7a+,5.13b / 8a,5.11c / 6c+,5.12b / 7b,Try the holds and moves individually first (boulder),Usually more than 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it
6/2/2020 9:57,Female,27,157,0,51.5,Work fulltime,North America,Mexico,Never,Completely a climbing trip,Both rather equally,Both rather equally,1,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,1,1,Follow a training program from a book or online course,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Trying more/different routes/problems, Flexibility",Tight fit,"No, I eat anything",No,Stretch and warmup (before climbing),V2,V4,V0,V0,V2,V1,Stretch and warmup (before climbing),3,5.11d / 7a,5.10c / 6b,5.10d / 6b+,5.12a / 7a+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,3rd attempt of the day,I do not project
6/2/2020 10:12,Male,45,170,0,70,Work fulltime,North America,México,Around twice a year,Trip that might have some climbing,Outdoor climber,Sports climber,20,No,Todas,1,0,2,I just climb more,More than 3 hours,Lead climbing area,I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V3,V3,V3,V3,V3,V3,"Climb an easy route, meant as a warmup",5,5.10a / 6a+,5.11c / 6c+,5.10c / 6b,5.10c / 6b,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it
6/2/2020 10:24,Female,25,164,0,52,Study and work,Oceania,Australia,More than once per month,Trip that might have some climbing,Indoor climber,Sports climber,6,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",2,2,2,I just climb more,1 to 2 hours,"Bouldering area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar",I indoor climb because i like indoor climbing,"Footwork, Core strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems","""Comfy fit""","No, I eat anything",No,Jump straight into the hard stuff,V0,V1,V0,V0,V0,V0,"Climb an easy route, meant as a warmup",5,5.9 / 6a,5.10c / 6b,5.10a / 6a+,5.10b / 6a+,Top-rope it first (sports),Usually 1 one attempt per day,2nd attempt of the day,I do not project
6/2/2020 10:30,Male,45,179,2,74,Work parttime,North America,Mexico,Around thrice a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,23,No,To live,3,0,0,I just climb more,I do not train,,I do not indoor climb,"Core strength, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,Vegetarian + fish and/or milk,No,Stretch and warmup (before climbing),V3,V0,V3,V0,V3,V3,"Climb an easy route, meant as a warmup",5,5.12a / 7a+,5.12c / 7b+,5.11c / 6c+,5.12b / 7b,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,1st attempt of the day,I do not project
6/2/2020 11:10,Male,26,174,0,64,Work parttime,Center or South America,Mexico,Around twice a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,3,No,"Fun of the activity in itself, Health, The places it takes you",3,1,1,Follow a training program by myself,Less than an hour,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Core strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Tight fit,Other,No,Stretch and warmup (before climbing),V2,V6,V4,V4,V2,V2,Stretch and warmup (before climbing),6,5.11a / 6b+,5.11c / 6c+,5.10d / 6b+,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it
6/2/2020 11:45,Male,19,163,3,57,Work parttime,North America,US,Around once per month,Mainly climbing trip but something else as well,Both rather equally,Both rather equally,2,Yes,"Fun of the activity in itself, Health, All besides competing ",3,6,3,Follow a training program by myself,1 to 2 hours,"Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,Vegetarian + fish and/or milk,No,Stretch and warmup (before climbing),V6,V7,V4,V4,V5,V6,Stretch and warmup (before climbing),13,5.11a / 6b+,5.12a / 7a+,5.10c / 6b,5.11c / 6c+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it
6/2/2020 11:58,Female,21,171,0,61,Work fulltime,Oceania,Australia,Around once a year,Trip that might have some climbing,Indoor climber,Sports climber,10,No,"Fun of the activity in itself, Health, For the challenge",1,1,1,I just climb more,2 to 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Trying more/different routes/problems, Cardio",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V2,V5,V1,V3,V3,V3,"Climb an easy route, meant as a warmup",12,5.10a / 6a+,5.11c / 6c+,5.10c / 6b,5.11b / 6c,Top-rope it first (sports),Usually 1 one attempt per day,1st attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 11:59,Female,19,173,0,60,Study and work,Oceania,Australia,Never,Completely non-climbing trip,Indoor climber,Sports climber,1,No,"Fun of the activity in itself, Health, For the social part of climbing, For the challenge",2,2,0,I just climb more,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Core strength, Endurance, Trying more/different routes/problems, Cardio",Tight fit,Vegetarian,Yes,"Climb easy problems, meant as a warmup",V3,V5,V0,V0,V3,V3,"Climb an easy route, meant as a warmup",20,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,5.8 / Fr(5) or lower,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it
6/2/2020 12:30,Female,27,155,1,52.5,Work parttime,Asia,England,Around every 2 months,Mainly climbing trip but something else as well,Indoor climber,Boulderer,5,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",3,3,0,I do not train,I do not train,,I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Trying more/different routes/problems, Flexibility",Tight fit,Vegetarian + fish and/or milk,No,Stretch and warmup (before climbing),V5,V7,V3,V4,V3,V5,Stretch and warmup (before climbing),4,5.10b / 6a+,5.11a / 6b+,5.10a / 6a+,5.11c / 6c+,Climb it while resting on every other bolt to explore the moves (sports),Usually 2 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 12:33,Female,24,170,0,60,Study and work,North America,México,Never,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,2,No,Fun of the activity in itself,2,0,0,I do not train,I do not train,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Core strength, Endurance, Power endurance, Trying more/different routes/problems, Cardio","Very tight, borderline painful, fit","No, I eat anything",Yes,Stretch and warmup (before climbing),V4,V4,V4,V7,V3,V7,Stretch and warmup (before climbing),7,5.11d / 7a,5.12a / 7a+,5.11a / 6b+,5.12c / 7b+,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,Random attempt,I purposely go to the same crag to keep going at it
6/2/2020 13:14,Male,26,193,0,75,Work fulltime,Oceania,Australia ,Around once a year,Trip that might have some climbing,Outdoor climber,Both rather equally,2,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,2,2,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Flexibility",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V4,V5,V2,V4,V1,V2,"Climb an easy route, meant as a warmup",6,5.10b / 6a+,5.10b / 6a+,5.8 / Fr(5) or lower,5.10d / 6b+,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,1st attempt of the day,I do not project
6/2/2020 13:28,Male,22,170,7,63,Study and work,North America,México,Around twice a year,Completely non-climbing trip,Both rather equally,Both rather equally,4,No,"Fun of the activity in itself, For the social part of climbing, For the challenge",4,3,4,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar",I indoor climb because i like indoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Explosive power",Tight fit,"No, I eat anything",No,Stretch and warmup (before climbing),V4,V6,V2,V5,V2,V3,Stretch and warmup (before climbing),5,5.10b / 6a+,5.11d / 7a,5.10c / 6b,5.11d / 7a,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,Random attempt,I purposely go to the same crag to keep going at it
6/2/2020 13:40,Male,25,170,0,61,Work fulltime,North America,MÁEXICO ,More than once per month,Completely a climbing trip,Both rather equally,Both rather equally,5,No,"Fun of the activity in itself, Health, Competition",5,3,3,Follow a training program by myself,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Cardio, Explosive power","Very tight, borderline painful, fit","No, I eat anything",No,Stretch and warmup (before climbing),V5,V8,V4,V7,V4,V6,Stretch and warmup (before climbing),5,5.12a / 7a+,5.12c / 7b+,5.12a / 7a+,5.12d / 7c,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 14:35,Female,24,158,0,50,Work fulltime,North America,Mexico,Never,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,4,No,"Fun of the activity in itself, For the challenge",4,3,3,Follow a training program by myself,1 to 2 hours,"Bouldering area, Top rope area (without autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Tight fit,Other,Yes,Stretch and warmup (before climbing),V5,V7,V2,V3,V1,V3,Stretch and warmup (before climbing),4,5.12c / 7b+,5.13b / 8a,5.12a / 7a+,5.12c / 7b+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 14:53,Male,41,185,-2,77,Work fulltime,Europe,Spain,Around twice a year,Completely non-climbing trip,Outdoor climber,Sports climber,20,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge, Work",4,0,0,I perform random exercises as they feel appropiate,1 to 2 hours,"Hang board, campus board, finger board or similar",I do not indoor climb,"Finger strength, Endurance, Power endurance, Trying more/different routes/problems, Explosive power",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V5,V6,V6,V8,V4,V6,Stretch and warmup (before climbing),6,5.12c / 7b+,5.13c / 8a+,5.12a / 7a+,5.13c / 8a+,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 15:14,Female,27,162,-5,54,Work parttime,Europe,Thailand ,Around once per month,Trip that might have some climbing,Outdoor climber,Sports climber,7,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",1,0,0,I do not train,I do not train,,I do not indoor climb,"Finger strength, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems, Cardio","""Comfy fit""",Vegetarian,Yes,"Climb easy problems, meant as a warmup",V0,V0,V2,V5,V0,V0,"Climb an easy route, meant as a warmup",3,5.10d / 6b+,5.11d / 7a,5.10c / 6b,5.11b / 6c,Top-rope it first (sports),Usually 2 attempts per day,1st attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 15:49,Female,20,163,0,52,Study and work,Oceania,Australia,Never,Trip that might have some climbing,Both rather equally,Sports climber,2,No,"Fun of the activity in itself, For the challenge",1,1,1,I just climb more,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Trying more/different routes/problems, Explosive power",Normal fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V5,V6,V3,V5,V2,V3,"Climb an easy route, meant as a warmup",10,5.10d / 6b+,5.11d / 7a,5.10d / 6b+,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I do not project
6/2/2020 16:45,Female,31,166,-3,56,Study and work,North America,Us,Around thrice a year,Mainly climbing trip but something else as well,Both rather equally,Sports climber,2,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",5,3,3,Follow a training program by myself,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Footwork, Core strength, Endurance, Route/problem-specific sequences, Trying more/different routes/problems","Very tight, borderline painful, fit",Vegetarian + fish and/or milk,No,"Climb easy problems, meant as a warmup",V3,V4,V2,V4,V2,V3,"Climb an easy route, meant as a warmup",5,5.11c / 6c+,5.12a / 7a+,5.10d / 6b+,5.12b / 7b,Try to go for the onsight/flash (sports and boulder),Usually 2 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again
